Response_ID,Q1_Age_Group,Q2_Gender,Q3_Nationality,Q4_Emirate,Q5_Employment,Q6_Income,Q7_Education,Q8_Household,Q9_Cafe_Frequency,Q10_Avg_Spending_Per_Visit_AED,Q11_Visit_Duration,Q12_Primary_Reason,Q13_Preferred_Time,Q14_Alone_Or_Company,Q15_Reading_Frequency,Q16_Books_Per_Year,Q17_Reading_Format,Q18_Favorite_Genres,Q19_Book_Acquisition,Q20_Book_Spending_Monthly_AED,Q21_Coffee_Preferences,Q22_Reading_Beverage,Q23_Ideal_Ambiance,Q24_Food_Preferences,Q25_Visited_Similar_Concept,Q26_What_Attracts,Q27_Book_Access_Model,Q28_Monthly_book_club_membership,Q28_Author_meet_&_greet_events,Q28_Writing_poetry_workshops,Q28_Children's_storytelling_sessions,Q28_Private_reading_pods_rooms,Q28_Co-working_space_with_books,Q28_Take-home_book_subscription,Q28_Coffee_+_book_pairing_recommendations,Q29_Willing_Pay_Coffee_AED,Q30_Total_Spending_Per_Visit_AED,Q31_Consider_Membership,Q32_Membership_Fee_AED,Q33_Premium_Exclusive,Q34_Quality_of_coffee,Q34_Book_collection_size_&_quality,Q34_Ambiance_&_comfort,Q34_Location_convenience,Q34_Price_value,Q35_Free_Time_Activities,Q36_Personality,Q37_Environmental_Consciousness,Q38_Technology_Adoption,Q39_Brand_Loyalty,Q40_Interest_Rating_1to10,Q41_Visit_Likelihood_TARGET,Q42_Expected_Visit_Frequency,Q43_Recommend_To_Others,Q44_Preferred_Location,Q45_Concerns,Q46_Additional_Services_Feedback,Q47_Other_Comments
320,55+,Female,South Asian,Abu Dhabi,Retired,"50,001 - 75,000",Diploma/Vocational Training,"Single, living alone",2-3 times per week,50,1-2 hours,Coffee/beverages quality|Food quality,Lunch time (12-3 PM),Mostly with company,Regular reader (3-5 times per week),21,Magazines|Online articles/blogs|Physical books (paperback/hardcover),Comics/Graphic Novels|Fiction - Literary|Non-Fiction - Biography/Memoir,Borrow from friends/family|Public libraries|Purchase from bookstores,183,"Cold Brew/Iced Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)","Cold beverages (juice, smoothies)|Hot coffee","Bookshelves surrounding|Comfortable seating (sofas, armchairs)|Dim/cozy lighting|Natural lighting|Quiet/Silent zones",Breakfast items|International cuisine options|Traditional Arabic sweets,"No, and not interested",Ability to borrow books|Book clubs/reading groups|Community of like-minded people|Multilingual book collection|Quiet environment for reading,Combination of above options,2,4,5,4,3,3,5,4,47,144,"Yes, depending on price",350,Above 50 AED,1,2,1,3,2,Socializing with friends/family|Working on personal projects,Balanced (ambivert),Not important,Late adopter (adopt when necessary),Variety seeker (always try new places),10,Definitely will visit,2-3 times per month,Probably yes,Mixed-use developments|Street retail/standalone,Distance/location inconvenience,N/A,N/A
321,45-54,Female,Arab Expat,Dubai,Full-time employed,"10,001 - 20,000",Bachelor's Degree,Extended family household,2-3 times per week,28,Less than 30 minutes (quick coffee),Work/study in a different environment,Lunch time (12-3 PM)|Weekends only,Mostly with company,Occasional reader (1-2 times per week),19,Online articles/blogs,Non-Fiction - Biography/Memoir|Non-Fiction - Business/Self-Help,Free online resources|Public libraries,86,"Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)|Specialty Coffee (Flat White, Cortado, Macchiato)",Hot chocolate|Iced coffee,"Comfortable seating (sofas, armchairs)|Fireplace or warm elements|Natural lighting|Outdoor seating option","Desserts (cakes, brownies)|International cuisine options|No food, just beverages|Vegan/Healthy options","No, but interested",Access to large book collection|Author events/book signings|Book clubs/reading groups|Instagram-worthy aesthetics|Multilingual book collection,"Book exchange (bring one, take one)",3,3,3,3,4,4,2,2,27,55,"Yes, depending on price",192,0 (Not interested),3,3,4,2,4,Gaming|Learning new skills/courses|Shopping,Balanced (ambivert),Important (consider when possible),Mainstream (adopt when widely accepted),Opportunistic (based on deals/convenience),9,Definitely will visit,Multiple times per week,Definitely yes,Business districts|Tourist areas,Distance/location inconvenience|Prefer buying books separately,N/A,N/A
322,55+,Female,UAE National,Abu Dhabi,Full-time employed,"35,001 - 50,000",High School or below,"Married/Partner, no children",4-6 times per week,41,30 minutes - 1 hour,Food quality|Social meetings with friends/colleagues,Night (9 PM onwards),Always with company,Rare reader (few times a year),3,"E-books (Kindle, tablets)|Newspapers|Physical books (paperback/hardcover)",Non-Fiction - Science/Technology,Free online resources|Purchase from bookstores,23,"Arabic/Turkish Coffee|Hot Chocolate|Non-caffeinated beverages only|Tea (Black, Green, Herbal)",Iced coffee,Bookshelves surrounding|Individual reading nooks/pods|Natural lighting|Soft background music,International cuisine options|Sandwiches/Wraps,"No, and not interested",Ability to purchase books|Multilingual book collection|Work/study-friendly environment,Purchase books (bookstore + cafe),2,1,2,3,2,1,1,3,39,68,Maybe,152,21-35 AED,3,3,1,4,5,Outdoor activities/sports|Social media browsing|Traveling,Balanced (ambivert),Very important (influences all decisions),Mainstream (adopt when widely accepted),Variety seeker (always try new places),7,Probably will visit,Once a month,Maybe,Mixed-use developments,Coffee quality concerns,N/A,N/A
323,45-54,Female,Western Expat,Dubai,Full-time employed,"50,001 - 75,000",Master's Degree,"Married/Partner, with children (teenagers/adults)",4-6 times per week,61,30 minutes - 1 hour,Ambiance and interior design|Coffee/beverages quality,Afternoon (3-6 PM)|Night (9 PM onwards),Mostly with company,Regular reader (3-5 times per week),31,"E-books (Kindle, tablets)|Magazines|Newspapers",Fiction - Mystery/Thriller|Non-Fiction - History/Politics|Other,"Online purchase (Amazon, Noon, etc.)|Public libraries",201,"Espresso-based (Cappuccino, Latte, Americano)|Specialty Coffee (Flat White, Cortado, Macchiato)",Iced coffee,Individual reading nooks/pods|Natural lighting|Outdoor seating option,"Breakfast items|Light snacks (cookies, biscuits)|Salads","No, but interested",Ability to borrow books|Ability to purchase books|Author events/book signings|Book exchange program|Kids' reading corner|Quality coffee and food|Work/study-friendly environment,"Book exchange (bring one, take one)",4,3,4,3,4,2,3,2,54,115,"Yes, depending on price",396,21-35 AED,5,5,1,3,3,Shopping|Socializing with friends/family|Traveling,Very introverted (prefer solitude),Important (consider when possible),Technology resistant,Neutral (try based on mood),10,Might visit,Once a month,Probably not,Beach/waterfront locations|Residential communities,Not enough time to utilize|Prefer buying books separately|Price might be too high,N/A,N/A
324,45-54,Female,South Asian,Abu Dhabi,Part-time employed,"10,001 - 20,000",Bachelor's Degree,"Single, living alone",Daily,25,1-2 hours,Social meetings with friends/colleagues,Early morning (6-9 AM)|Mid-morning (9 AM-12 PM)|Night (9 PM onwards),Always alone,Daily reader (read every day),29,Audiobooks|Magazines|Online articles/blogs,Children's/Young Adult|Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy|Other,"Free online resources|Online purchase (Amazon, Noon, etc.)|Purchase from bookstores",171,"Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Non-caffeinated beverages only|Tea (Black, Green, Herbal)",Hot chocolate,"Comfortable seating (sofas, armchairs)|Natural lighting|Soft background music|Vintage/classic decor","Light snacks (cookies, biscuits)|No food, just beverages","No, but interested","Cozy, comfortable ambiance|Instagram-worthy aesthetics|Kids' reading corner|Multilingual book collection|Work/study-friendly environment",Free browsing/reading in-cafe only,4,5,4,3,4,5,3,2,24,43,Maybe,140,21-35 AED,4,4,5,1,5,Dining out/cafe hopping|Socializing with friends/family,Somewhat introverted,Somewhat important,Fast follower (adopt after some research),Somewhat loyal (prefer familiar but open),10,Definitely will visit,Multiple times per week,Definitely yes,Business districts|Near universities/schools,Price might be too high,N/A,N/A
325,18-24,Female,South Asian,Dubai,Student,Prefer not to say,Bachelor's Degree,"Married/Partner, no children",2-3 times per month,38,2-3 hours,Work/study in a different environment,Afternoon (3-6 PM)|Night (9 PM onwards)|Weekends only,Both equally,Monthly reader (few times a month),10,Audiobooks|Online articles/blogs|Physical books (paperback/hardcover),Fiction - Contemporary/Romance|Fiction - Literary|Fiction - Science Fiction/Fantasy|Non-Fiction - Science/Technology,Free online resources|Purchase from bookstores,50,"Espresso-based (Cappuccino, Latte, Americano)|Hot Chocolate|Non-caffeinated beverages only|Tea (Black, Green, Herbal)","Cold beverages (juice, smoothies)|Hot coffee","Comfortable seating (sofas, armchairs)|Fireplace or warm elements|Vintage/classic decor","No food, just beverages|Pastries (croissants, muffins)|Salads|Vegan/Healthy options","Yes, in UAE","Author events/book signings|Cozy, comfortable ambiance",Combination of above options,2,3,2,2,2,3,1,4,38,85,Probably not,0,10-20 AED,4,2,5,4,3,Arts & crafts|Gaming|Traveling,Somewhat introverted,Not a priority,Fast follower (adopt after some research),Opportunistic (based on deals/convenience),6,Probably will visit,Once a month,Probably not,Beach/waterfront locations|Residential communities,Already have similar options|Price might be too high,N/A,N/A
326,35-44,Male,South Asian,Fujairah,Full-time employed,"35,001 - 50,000",Master's Degree,"Married/Partner, with children (teenagers/adults)",Once a week,38,30 minutes - 1 hour,Social meetings with friends/colleagues,Weekends only,Mostly with company,Monthly reader (few times a month),11,"E-books (Kindle, tablets)|Magazines",Fiction - Literary|Fiction - Mystery/Thriller|Non-Fiction - Biography/Memoir|Poetry,Free online resources|Public libraries,26,"Hot Chocolate|Specialty Coffee (Flat White, Cortado, Macchiato)",Tea,Bookshelves surrounding|Dim/cozy lighting|Greenery/plants|Natural lighting|Outdoor seating option|Quiet/Silent zones,International cuisine options|Sandwiches/Wraps|Traditional Arabic sweets,"No, and not interested",Ability to borrow books|Author events/book signings|Multilingual book collection|Work/study-friendly environment,Membership for book borrowing (take home),1,2,2,5,2,3,1,3,34,52,"Yes, definitely",324,0 (Not interested),3,4,1,4,1,Learning new skills/courses|Shopping|Socializing with friends/family,Very introverted (prefer solitude),Important (consider when possible),Early adopter (love new tech),Variety seeker (always try new places),9,Probably will visit,2-3 times per month,Probably yes,Tourist areas,May be too crowded/noisy,N/A,N/A
327,25-34,Male,Arab Expat,Dubai,Self-employed/Business owner,"Less than 5,000",Bachelor's Degree,"Married/Partner, no children",4-6 times per week,21,Less than 30 minutes (quick coffee),Food quality,Evening (6-9 PM)|Lunch time (12-3 PM)|Mid-morning (9 AM-12 PM),Mostly alone,Regular reader (3-5 times per week),24,Audiobooks,Non-Fiction - History/Politics|Poetry,"Online purchase (Amazon, Noon, etc.)",53,"Cold Brew/Iced Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)","Cold beverages (juice, smoothies)|Tea",Bookshelves surrounding|Fireplace or warm elements|Individual reading nooks/pods|Modern/contemporary decor,"Pastries (croissants, muffins)|Sandwiches/Wraps","No, but interested",Ability to purchase books|Access to large book collection|Book clubs/reading groups|Book exchange program|Community of like-minded people,Combination of above options,4,2,2,3,4,3,3,5,20,28,Maybe,90,0 (Not interested),2,4,5,1,3,Arts & crafts|Learning new skills/courses|Watching movies/series,Somewhat introverted,Somewhat important,Mainstream (adopt when widely accepted),Somewhat loyal (prefer familiar but open),9,Definitely will visit,2-3 times per month,Probably yes,Mixed-use developments,Price might be too high,N/A,N/A
328,55+,Female,Arab Expat,Sharjah,Unemployed,"Less than 5,000",Diploma/Vocational Training,"Married/Partner, with children (teenagers/adults)",Once a week,14,1-2 hours,Ambiance and interior design|Free WiFi,Early morning (6-9 AM)|Lunch time (12-3 PM)|Night (9 PM onwards),Mostly with company,Regular reader (3-5 times per week),27,Magazines|Newspapers|Online articles/blogs,Comics/Graphic Novels|Non-Fiction - Biography/Memoir,"E-book subscriptions (Kindle Unlimited, etc.)|Online purchase (Amazon, Noon, etc.)|Purchase from bookstores",61,"Arabic/Turkish Coffee|Tea (Black, Green, Herbal)",Hot chocolate|Water only,Bookshelves surrounding|Dim/cozy lighting|Greenery/plants|Natural lighting|Soft background music,International cuisine options|Sandwiches/Wraps|Traditional Arabic sweets|Vegan/Healthy options,"No, but interested","Ability to purchase books|Access to large book collection|Author events/book signings|Book clubs/reading groups|Community of like-minded people|Cozy, comfortable ambiance|Work/study-friendly environment",Membership for book borrowing (take home),5,4,1,5,4,4,3,4,15,26,Maybe,161,0 (Not interested),2,5,5,5,2,Outdoor activities/sports|Watching movies/series,Very introverted (prefer solitude),Very important (influences all decisions),Late adopter (adopt when necessary),Somewhat loyal (prefer familiar but open),7,Probably won't visit,Once every few months,Probably not,Mixed-use developments,Distance/location inconvenience|May be too crowded/noisy,N/A,N/A
329,45-54,Female,South Asian,Abu Dhabi,Retired,"35,001 - 50,000",Doctorate/PhD,"Married/Partner, with children (teenagers/adults)",2-3 times per week,31,Less than 30 minutes (quick coffee),Coffee/beverages quality|Food quality,Night (9 PM onwards)|Weekends only,Mostly alone,Occasional reader (1-2 times per week),17,Magazines|Physical books (paperback/hardcover),Children's/Young Adult|Fiction - Contemporary/Romance|Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy,Purchase from bookstores,88,"Arabic/Turkish Coffee|Fresh Juices/Smoothies|Non-caffeinated beverages only|Specialty Coffee (Flat White, Cortado, Macchiato)",Hot chocolate,Greenery/plants|Modern/contemporary decor|Vintage/classic decor,"Pastries (croissants, muffins)|Sandwiches/Wraps|Traditional Arabic sweets|Vegan/Healthy options","No, but interested",Ability to borrow books|Author events/book signings|Book exchange program,Combination of above options,3,3,4,3,1,3,4,4,28,61,"Yes, depending on price",286,Above 50 AED,2,5,3,5,5,Reading books|Social media browsing|Working on personal projects,Balanced (ambivert),Important (consider when possible),Technology resistant,Variety seeker (always try new places),9,Probably will visit,2-3 times per month,Probably yes,Tourist areas,May be too crowded/noisy,N/A,N/A
330,45-54,Male,Other,Sharjah,Full-time employed,"Less than 5,000",Bachelor's Degree,"Married/Partner, no children",2-3 times per week,12,1-2 hours,Ambiance and interior design|Free WiFi,Afternoon (3-6 PM)|Evening (6-9 PM)|Night (9 PM onwards),Both equally,Regular reader (3-5 times per week),18,Magazines,Fiction - Literary|Religious/Spiritual,"E-book subscriptions (Kindle Unlimited, etc.)|Public libraries",96,"Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)|Specialty Coffee (Flat White, Cortado, Macchiato)",Water only,"Comfortable seating (sofas, armchairs)|Fireplace or warm elements|Minimalist decor|Natural lighting|Quiet/Silent zones","Breakfast items|No food, just beverages|Pastries (croissants, muffins)","Yes, outside UAE",Book clubs/reading groups|Kids' reading corner|Multilingual book collection|Quality coffee and food|Quiet environment for reading,Combination of above options,4,4,4,3,5,3,4,2,15,20,Probably not,0,10-20 AED,5,5,5,3,3,Outdoor activities/sports|Reading books|Social media browsing,Somewhat extroverted,Somewhat important,Fast follower (adopt after some research),Neutral (try based on mood),10,Probably will visit,Once a week,Definitely not,Business districts,Distance/location inconvenience|Prefer buying books separately,N/A,N/A
331,45-54,Male,Arab Expat,Ras Al Khaimah,Full-time employed,"20,001 - 35,000",Bachelor's Degree,"Married/Partner, with children (under 12)",Once a week,35,2-3 hours,Business meetings,Mid-morning (9 AM-12 PM)|Weekends only,Both equally,Regular reader (3-5 times per week),25,Audiobooks|Magazines|Online articles/blogs,Other|Religious/Spiritual,"E-book subscriptions (Kindle Unlimited, etc.)|Public libraries|Purchase from bookstores",140,"Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee",Hot coffee|Iced coffee,Fireplace or warm elements|Individual reading nooks/pods|Minimalist decor|Outdoor seating option|Vintage/classic decor,"Pastries (croissants, muffins)|Sandwiches/Wraps|Traditional Arabic sweets","No, and not interested",Ability to borrow books|Ability to purchase books|Author events/book signings|Book clubs/reading groups|Community of like-minded people|Kids' reading corner|Work/study-friendly environment,Digital library access + physical cafe,3,2,4,2,4,3,4,2,36,68,Maybe,283,10-20 AED,3,2,1,2,3,Dining out/cafe hopping|Gaming|Reading books,Somewhat introverted,Important (consider when possible),Technology resistant,Somewhat loyal (prefer familiar but open),10,Definitely will visit,2-3 times per month,Maybe,Near universities/schools,No major concerns|Not enough time to utilize,N/A,N/A
332,25-34,Female,East Asian,Dubai,Full-time employed,"50,001 - 75,000",Master's Degree,"Married/Partner, no children",4-6 times per week,80,Less than 30 minutes (quick coffee),"Relaxation and ""me-time""",Lunch time (12-3 PM),Both equally,Occasional reader (1-2 times per week),12,"E-books (Kindle, tablets)|Newspapers|Online articles/blogs",Children's/Young Adult|Other,Free online resources|Public libraries|Purchase from bookstores,124,"Espresso-based (Cappuccino, Latte, Americano)|Hot Chocolate",Tea|Water only,Bookshelves surrounding|Natural lighting|Quiet/Silent zones,"Pastries (croissants, muffins)|Salads|Traditional Arabic sweets","No, but interested",Author events/book signings|Instagram-worthy aesthetics,Combination of above options,4,1,3,3,3,1,2,3,75,230,"Yes, depending on price",485,Above 50 AED,5,4,5,1,3,Dining out/cafe hopping|Outdoor activities/sports|Socializing with friends/family,Somewhat introverted,Very important (influences all decisions),Fast follower (adopt after some research),Somewhat loyal (prefer familiar but open),10,Probably will visit,Once every few months,Probably yes,Residential communities,May be too crowded/noisy,N/A,N/A
333,45-54,Male,South Asian,Dubai,Homemaker,"10,001 - 20,000",Bachelor's Degree,"Single, living alone",2-3 times per week,34,30 minutes - 1 hour,"Coffee/beverages quality|Relaxation and ""me-time""",Lunch time (12-3 PM),Mostly with company,Monthly reader (few times a month),5,Magazines|Physical books (paperback/hardcover),Children's/Young Adult|Fiction - Literary,Public libraries|Purchase from bookstores,50,Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Filter/Drip Coffee,Tea,Modern/contemporary decor|Soft background music|Vintage/classic decor,International cuisine options|Vegan/Healthy options,"No, but interested","Ability to borrow books|Book exchange program|Cozy, comfortable ambiance|Multilingual book collection","Book exchange (bring one, take one)",3,4,2,4,2,2,3,1,31,48,Maybe,178,10-20 AED,4,1,4,1,5,Dining out/cafe hopping|Outdoor activities/sports|Reading books,Somewhat extroverted,Not a priority,Fast follower (adopt after some research),Variety seeker (always try new places),6,Probably will visit,Once a week,Maybe,Mixed-use developments|Residential communities,May be too crowded/noisy,N/A,N/A
334,18-24,Male,GCC National,Dubai,Part-time employed,"20,001 - 35,000",Bachelor's Degree,Extended family household,Daily,25,30 minutes - 1 hour,Coffee/beverages quality|Food quality,Early morning (6-9 AM),Mostly alone,Daily reader (read every day),37,Audiobooks|Magazines|Physical books (paperback/hardcover),Children's/Young Adult|Non-Fiction - Business/Self-Help|Non-Fiction - History/Politics|Non-Fiction - Science/Technology|Religious/Spiritual,Public libraries|Purchase from bookstores,290,"Fresh Juices/Smoothies|Hot Chocolate|Specialty Coffee (Flat White, Cortado, Macchiato)",Tea|Water only,Individual reading nooks/pods|Minimalist decor|Vintage/classic decor,"Pastries (croissants, muffins)|Vegan/Healthy options","No, and not interested",Ability to borrow books|Book clubs/reading groups|Book exchange program|Community of like-minded people|Multilingual book collection|Quiet environment for reading,Free browsing/reading in-cafe only,3,4,2,2,4,4,2,3,22,44,"Yes, definitely",158,36-50 AED,3,2,1,2,4,Dining out/cafe hopping|Socializing with friends/family|Watching movies/series,Balanced (ambivert),Very important (influences all decisions),Early adopter (love new tech),Somewhat loyal (prefer familiar but open),10,Probably will visit,2-3 times per month,Maybe,Mixed-use developments|Tourist areas,No major concerns,N/A,N/A
335,45-54,Female,East Asian,Dubai,Self-employed/Business owner,"50,001 - 75,000",Bachelor's Degree,"Married/Partner, no children",2-3 times per week,43,Less than 30 minutes (quick coffee),Coffee/beverages quality|Work/study in a different environment,Lunch time (12-3 PM),Mostly alone,Occasional reader (1-2 times per week),8,"E-books (Kindle, tablets)|Newspapers",Non-Fiction - Biography/Memoir|Non-Fiction - Business/Self-Help|Religious/Spiritual,Free online resources|Purchase from bookstores,46,"Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)|Non-caffeinated beverages only",Hot chocolate,Bookshelves surrounding|Minimalist decor|Natural lighting,"Breakfast items|Desserts (cakes, brownies)","No, and not interested",Multilingual book collection|Work/study-friendly environment,Membership for book borrowing (take home),3,3,2,5,3,2,1,4,42,102,Maybe,367,21-35 AED,3,1,1,1,4,Arts & crafts|Gaming|Reading books,Very extroverted (thrive in social settings),Not a priority,Mainstream (adopt when widely accepted),Somewhat loyal (prefer familiar but open),6,Probably will visit,Once a week,Probably yes,Mixed-use developments|Residential communities,Coffee quality concerns|No major concerns,N/A,N/A
336,45-54,Prefer not to say,South Asian,Abu Dhabi,Full-time employed,"20,001 - 35,000",Bachelor's Degree,"Married/Partner, with children (teenagers/adults)",2-3 times per week,47,30 minutes - 1 hour,Food quality|Work/study in a different environment,Early morning (6-9 AM)|Evening (6-9 PM)|Mid-morning (9 AM-12 PM),Both equally,Monthly reader (few times a month),4,Magazines,Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy|Non-Fiction - Biography/Memoir|Non-Fiction - Science/Technology|Poetry,Purchase from bookstores,35,"Filter/Drip Coffee|Fresh Juices/Smoothies|Tea (Black, Green, Herbal)",Hot chocolate|Iced coffee,"Bookshelves surrounding|Comfortable seating (sofas, armchairs)|Fireplace or warm elements|Minimalist decor|Outdoor seating option|Vintage/classic decor","Light snacks (cookies, biscuits)|No food, just beverages|Pastries (croissants, muffins)|Vegan/Healthy options","No, but interested",Community of like-minded people|Quality coffee and food|Work/study-friendly environment,Digital library access + physical cafe,2,2,4,3,1,4,4,3,45,68,"Yes, depending on price",229,0 (Not interested),2,4,4,2,5,Arts & crafts|Learning new skills/courses|Outdoor activities/sports,Somewhat introverted,Somewhat important,Mainstream (adopt when widely accepted),Very loyal (stick to favorites),6,Probably will visit,Multiple times per week,Definitely yes,Business districts|Residential communities,No major concerns,N/A,N/A
337,25-34,Female,East Asian,Sharjah,Full-time employed,"35,001 - 50,000",Diploma/Vocational Training,"Married/Partner, with children (teenagers/adults)",2-3 times per week,49,30 minutes - 1 hour,Location convenience,Lunch time (12-3 PM)|Mid-morning (9 AM-12 PM)|Weekends only,Mostly with company,Occasional reader (1-2 times per week),9,Magazines,Children's/Young Adult|Comics/Graphic Novels|Fiction - Mystery/Thriller,"E-book subscriptions (Kindle Unlimited, etc.)",62,"Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee|Specialty Coffee (Flat White, Cortado, Macchiato)|Tea (Black, Green, Herbal)","Cold beverages (juice, smoothies)|Iced coffee",Bookshelves surrounding|Fireplace or warm elements|Greenery/plants|Minimalist decor|Modern/contemporary decor,"Light snacks (cookies, biscuits)|No food, just beverages|Pastries (croissants, muffins)|Vegan/Healthy options","No, but interested",Ability to borrow books|Book clubs/reading groups|Kids' reading corner|Multilingual book collection|Work/study-friendly environment,Free browsing/reading in-cafe only,3,2,1,4,5,1,3,3,48,87,Definitely not,0,Above 50 AED,2,3,1,2,3,Arts & crafts|Dining out/cafe hopping|Learning new skills/courses,Somewhat introverted,Very important (influences all decisions),Fast follower (adopt after some research),Very loyal (stick to favorites),10,Definitely will visit,2-3 times per month,Definitely yes,Beach/waterfront locations,No major concerns|Price might be too high,N/A,N/A
338,45-54,Female,South Asian,Dubai,Self-employed/Business owner,"20,001 - 35,000",Diploma/Vocational Training,"Single, living alone",Daily,50,30 minutes - 1 hour,Ambiance and interior design|Work/study in a different environment,Evening (6-9 PM)|Night (9 PM onwards),Always alone,Occasional reader (1-2 times per week),19,Magazines|Newspapers,Fiction - Literary|Fiction - Mystery/Thriller|Non-Fiction - Biography/Memoir|Non-Fiction - Business/Self-Help|Non-Fiction - History/Politics,Purchase from bookstores,72,"Flavored Coffee (Vanilla, Caramel, Hazelnut)|Fresh Juices/Smoothies","Cold beverages (juice, smoothies)",Bookshelves surrounding|Dim/cozy lighting|Greenery/plants|Quiet/Silent zones,"Light snacks (cookies, biscuits)|No food, just beverages|Salads|Traditional Arabic sweets","Yes, outside UAE",Ability to purchase books|Quiet environment for reading,"Book exchange (bring one, take one)",1,3,1,2,2,2,2,2,44,102,Probably not,0,10-20 AED,5,5,5,5,3,Outdoor activities/sports|Social media browsing|Socializing with friends/family,Somewhat introverted,Important (consider when possible),Mainstream (adopt when widely accepted),Opportunistic (based on deals/convenience),10,Definitely will visit,Once a week,Probably yes,Business districts|Mixed-use developments,May be too crowded/noisy|No major concerns,N/A,N/A
339,25-34,Female,UAE National,Dubai,Full-time employed,"5,000 - 10,000",High School or below,"Married/Partner, with children (under 12)",2-3 times per month,19,2-3 hours,Coffee/beverages quality,Lunch time (12-3 PM),Mostly with company,Non-reader,0,I don't read books,None,I don't acquire books,0,Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Filter/Drip Coffee|Fresh Juices/Smoothies,Tea,"Comfortable seating (sofas, armchairs)|Minimalist decor|Outdoor seating option","Pastries (croissants, muffins)|Sandwiches/Wraps","Yes, in UAE","None, I wouldn't be attracted",Combination of above options,1,3,1,3,1,1,2,2,19,30,Probably not,0,36-50 AED,1,5,4,5,2,Outdoor activities/sports|Socializing with friends/family|Traveling,Somewhat introverted,Somewhat important,Early adopter (love new tech),Neutral (try based on mood),4,Might visit,2-3 times per month,Probably yes,Residential communities,May be too crowded/noisy|Price might be too high,N/A,N/A
340,25-34,Male,South Asian,Dubai,Part-time employed,"5,000 - 10,000",Bachelor's Degree,"Single, living alone",2-3 times per month,17,1-2 hours,Ambiance and interior design,Evening (6-9 PM),Mostly with company,Regular reader (3-5 times per week),34,Online articles/blogs,Comics/Graphic Novels|Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy|Non-Fiction - History/Politics|Poetry,Borrow from friends/family|Purchase from bookstores,28,"Espresso-based (Cappuccino, Latte, Americano)|Specialty Coffee (Flat White, Cortado, Macchiato)",Tea,"Comfortable seating (sofas, armchairs)|Dim/cozy lighting|Greenery/plants|Minimalist decor|Quiet/Silent zones","Light snacks (cookies, biscuits)|Pastries (croissants, muffins)|Salads|Vegan/Healthy options","No, but interested",Ability to purchase books|Community of like-minded people|Quality coffee and food|Work/study-friendly environment,Combination of above options,5,2,5,2,4,3,4,4,16,21,Probably not,0,0 (Not interested),4,1,4,1,1,Arts & crafts|Reading books|Watching movies/series,Somewhat introverted,Important (consider when possible),Fast follower (adopt after some research),Variety seeker (always try new places),9,Definitely will visit,Once a week,Definitely yes,Shopping malls,Coffee quality concerns|Distance/location inconvenience,N/A,N/A
341,45-54,Female,Western Expat,Dubai,Full-time employed,"35,001 - 50,000",Diploma/Vocational Training,"Married/Partner, with children (teenagers/adults)",4-6 times per week,43,Less than 30 minutes (quick coffee),"Relaxation and ""me-time""|Work/study in a different environment",Afternoon (3-6 PM)|Mid-morning (9 AM-12 PM)|Night (9 PM onwards),Mostly with company,Occasional reader (1-2 times per week),13,"Audiobooks|E-books (Kindle, tablets)",Comics/Graphic Novels|Non-Fiction - History/Politics|Non-Fiction - Science/Technology|Other,"Borrow from friends/family|E-book subscriptions (Kindle Unlimited, etc.)",42,"Espresso-based (Cappuccino, Latte, Americano)|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Fresh Juices/Smoothies|Specialty Coffee (Flat White, Cortado, Macchiato)",Hot chocolate|Iced coffee,Minimalist decor|Modern/contemporary decor|Outdoor seating option|Quiet/Silent zones|Soft background music|Vintage/classic decor,"International cuisine options|Light snacks (cookies, biscuits)|Pastries (croissants, muffins)","Yes, in UAE",Ability to borrow books|Book clubs/reading groups|Book exchange program|Kids' reading corner|Quality coffee and food,Combination of above options,3,1,1,3,4,4,4,2,39,73,Definitely not,0,21-35 AED,1,2,1,1,4,Gaming|Outdoor activities/sports|Reading books,Balanced (ambivert),Very important (influences all decisions),Technology resistant,Very loyal (stick to favorites),8,Probably will visit,2-3 times per month,Probably yes,Mixed-use developments|Near universities/schools,Distance/location inconvenience,N/A,N/A
